,player_id,targets,deep_targets,red_zone_targets,air_yards,air_yards_per_target,yac,yac_oe,carries,yards_per_carry,red_zone_carries,big_carries,cpoe,big_carry_percentage,player_name,team,targets_team,carries_team,red_zone_targets_team,red_zone_carries_team,target_percentage,carry_percentage,red_zone_target_percentage,red_zone_carry_percentage
59,00-0033215,1.0,1.0,,35.0,35.0,15.0,6.980938909284305,,,,,,,C.Grayson,TB,341,168,31,24,0.002932551319648094,,,
60,00-0034735,1.0,,,11.0,11.0,0.0,0.0,,,,,,,C.McElroy,TB,341,168,31,24,0.002932551319648094,,,
61,00-0034319,1.0,,,-2.0,-2.0,2.0,-6.668602621590253,,,,,,,D.Yelder,TB,341,168,31,24,0.002932551319648094,,,
62,00-0035298,3.0,,,18.0,6.0,8.0,-5.378608700222685,,,,,,,S.Miller,TB,341,168,31,24,0.008797653958944282,,,
63,00-0036877,5.0,,,9.0,1.8,15.0,-17.475828734968673,1.0,11.0,,1.0,,1.0,J.Darden,TB,341,168,31,24,0.01466275659824047,0.005952380952380952,,
64,00-0034816,6.0,,,-6.0,-1.0,43.0,11.135486386883713,44.0,4.409090909090909,5.0,4.0,,0.09090909090909091,R.Jones,TB,341,168,31,24,0.017595307917888565,0.2619047619047619,,0.20833333333333334
65,00-0033879,19.0,,2.0,119.0,6.2631578947368425,77.0,4.112080027611226,,,,,,,O.Howard,TB,341,168,31,24,0.05571847507331378,,0.06451612903225806,
66,00-0027656,22.0,,4.0,205.0,9.318181818181818,76.0,13.204565225038097,,,,,,,R.Gronkowski,TB,341,168,31,24,0.06451612903225806,,0.12903225806451613,
67,00-0036427,22.0,1.0,2.0,210.0,9.545454545454545,67.0,-2.072510765894549,,,,,,,T.Johnson,TB,341,168,31,24,0.06451612903225806,,0.06451612903225806,
68,00-0030456,23.0,,4.0,12.0,0.5217391304347826,129.0,-22.83158523102611,6.0,8.5,,2.0,,0.3333333333333333,G.Bernard,TB,341,168,31,24,0.06744868035190615,0.03571428571428571,0.12903225806451613,
69,00-0031273,25.0,,3.0,212.0,8.48,53.0,-1.915250703386846,,,,,,,C.Brate,TB,341,168,31,24,0.07331378299120235,,0.0967741935483871,
70,00-0033856,39.0,,2.0,47.0,1.205128205128205,233.0,32.80334702326218,101.0,4.346534653465347,14.0,10.0,-64.32642936706543,0.09900990099009901,L.Fournette,TB,341,168,31,24,0.11436950146627566,0.6011904761904762,0.06451612903225806,0.5833333333333334
71,00-0027793,42.0,6.0,1.0,557.0,13.261904761904763,162.0,8.31862504810124,1.0,6.0,,,,,A.Brown,TB,341,168,31,24,0.12316715542521994,0.005952380952380952,0.03225806451612903,
72,00-0031408,63.0,9.0,7.0,925.0,14.682539682539682,100.0,-43.37239124534244,,,,,,,M.Evans,TB,341,168,31,24,0.18475073313782991,,0.22580645161290322,
73,00-0033921,69.0,3.0,6.0,581.0,8.420289855072463,361.0,101.60915123680752,2.0,2.0,2.0,,,,C.Godwin,TB,341,168,31,24,0.20234604105571846,0.011904761904761904,0.1935483870967742,0.08333333333333333
74,00-0036450,,,,,,,,5.0,5.4,,1.0,,0.2,K.Vaughn,TB,341,168,31,24,,0.02976190476190476,,
75,00-0019596,,,,,,,,8.0,5.5,3.0,1.0,2.519216642765228,0.125,T.Brady,TB,341,168,31,24,,0.047619047619047616,,0.125
76,00-0027948,,,,,,,,,,,,13.018868863582611,,B.Gabbert,TB,341,168,31,24,,,,
77,00-0035710,1.0,,,13.0,13.0,3.0,-0.1314367001177743,41.0,6.358974358974359,5.0,7.0,-1.4156307742902727,0.17073170731707318,D.Jones,NYG,291,184,22,21,0.003436426116838488,0.22282608695652173,,0.23809523809523808
78,00-0035359,1.0,,,9.0,9.0,0.0,0.0,,,,,,,D.Sills,NYG,291,184,22,21,0.003436426116838488,,,
79,00-0036569,1.0,,,1.0,1.0,5.0,-1.2074049110960914,1.0,4.0,,,,,G.Brightwell,NYG,291,184,22,21,0.003436426116838488,0.005434782608695652,,
80,00-0034988,3.0,,,22.0,7.333333333333333,11.0,-2.5219869872526033,,,,,,,K.Smith,NYG,291,184,22,21,0.010309278350515464,,,
81,00-0032813,4.0,,,-1.0,-0.25,17.0,3.601682736451039,17.0,3.176470588235294,1.0,,,,E.Penny,NYG,291,184,22,21,0.013745704467353952,0.09239130434782608,,0.047619047619047616
82,00-0033367,6.0,2.0,1.0,102.0,17.0,13.0,-13.131211721338332,1.0,6.0,,,,,C.Board,NYG,291,184,22,21,0.020618556701030927,0.005434782608695652,0.045454545454545456,
83,00-0034860,16.0,,1.0,103.0,6.4375,38.0,-4.711174034178839,,,,,36.36338710784912,,D.Pettis,NYG,291,184,22,21,0.054982817869415807,,0.045454545454545456,
84,00-0033460,16.0,4.0,1.0,288.0,18.0,23.0,-12.43889588683669,,,,,,,J.Ross,NYG,291,184,22,21,0.054982817869415807,,0.045454545454545456,
85,00-0036254,19.0,,1.0,160.0,8.421052631578947,15.0,-23.076523378840648,,,,,,,C.Johnson,NYG,291,184,22,21,0.06529209621993128,,0.045454545454545456,
86,00-0027981,19.0,,6.0,105.0,5.833333333333333,43.0,-15.254668206951465,,,,,,,K.Rudolph,NYG,291,184,22,21,0.06529209621993128,,0.2727272727272727,
87,00-0034844,20.0,,1.0,19.0,0.95,140.0,13.981400862641749,54.0,3.611111111111111,5.0,3.0,,0.05555555555555555,S.Barkley,NYG,291,184,22,21,0.06872852233676977,0.29347826086956524,0.045454545454545456,0.23809523809523808
