,team,offense_pass_oe,offense_pass_oe_est,defense_pass_oe,defense_pass_oe_est,goal_offense_pass_oe,offense_snaps,defense_snaps,dropbacks,dropbacks_def,defense_yac,defense_yac_est,defense_cpoe,defense_cpoe_est,defense_air_yards,defense_ypc,defense_ypc_est,targets,carries,red_zone_targets,red_zone_carries,deep_targets,defense_sacks,def_ints,defense_qb_hits,offense_sacks,offense_qb_hits,offense_scrambles,defense_tfl,offense_tfl,defense_holds_drawn,offense_holds_drawn,offense_pen_rate,defense_pen_rate,offense_hold_rate,defense_hold_rate,offense_sacks_per_dropback,offense_qb_hits_per_dropback,offense_scrambles_per_dropback,defense_int_rate,defense_int_rate_est,defense_relative_ypc,defense_relative_yac,defense_relative_ypc_est,defense_relative_yac_est,defense_relative_air_yards,defense_relative_int_rate,defense_relative_int_rate_est
20,ARI,1.0614132039087247,0.14418108257309797,-2.626579057836282,0.29840962496160606,-8.771912140004774,619,583,303,336,4.515,4.8636318325615875,-2.445627245746675,-1.4608527204634054,7.360128617363344,4.864077669902913,4.501107775240718,270,273,17,30,16,25.0,7.0,55.0,20.0,27.0,16,22.0,20.0,13.0,14.0,0.07592891760904685,0.1320754716981132,0.022617124394184167,0.022298456260720412,0.066006600660066,0.0891089108910891,0.052805280528052806,0.020833333333333332,0.020520186420018148,1.1344586093915503,0.856368906335585,1.0498024114658107,0.9224945898714738,0.9281856939111102,0.9818798449612403,0.9671211581118321
21,DAL,1.541481162859484,1.5366729175409117,3.362331254264483,-0.9622986650282379,-0.39618871150872664,597,542,314,311,6.442708333333333,5.917064205151515,0.7263640598427479,0.28639800660852455,7.976109215017065,4.502762430939226,4.303900595294499,296,231,18,22,15,16.0,11.0,51.0,14.0,35.0,12,17.0,11.0,14.0,16.0,0.07705192629815745,0.12546125461254612,0.02680067001675042,0.025830258302583026,0.044585987261146494,0.11146496815286625,0.03821656050955414,0.03536977491961415,0.026650024879642797,1.0501883301394304,1.2220011271884446,1.0038073845960438,1.122301174326255,1.005866996534028,1.6669857174904659,1.2560218702577695
22,GB,3.1177217938593427,2.6711277094202663,0.5479824798372525,1.7305245343042661,14.236584647248188,568,581,315,330,4.975124378109452,5.157055310788163,1.1702859542185209,-0.20467891288826906,7.974025974025974,4.658878504672897,4.4230200033915965,283,220,24,20,20,21.0,9.0,47.0,19.0,48.0,14,11.0,17.0,12.0,6.0,0.11443661971830986,0.09982788296041308,0.01056338028169014,0.020654044750430294,0.06031746031746032,0.1523809523809524,0.044444444444444446,0.02727272727272727,0.02440940088964952,1.0865995957340242,0.9436415996821926,1.0315898435188422,0.9781487965474597,1.005604279048312,1.2853699788583508,1.1504207405340399
23,NYJ,3.193141796392875,4.423532787551133,1.4073598391630433,2.7598735623304433,-17.564620077610016,541,567,342,310,6.19,5.8854130398175535,4.944251282897518,3.2146959778817883,7.474226804123711,4.86036036036036,4.614491392375191,313,166,13,19,11,18.0,1.0,48.0,24.0,50.0,7,23.0,15.0,6.0,8.0,0.12014787430683918,0.12522045855379188,0.014787430683918669,0.010582010582010581,0.07017543859649122,0.14619883040935672,0.02046783625730994,0.0032258064516129032,0.013280651110333292,1.133591613816949,1.1740694419085875,1.0762471003362344,1.1162978357124584,0.9425746142898018,0.152033008252063,0.6259201753535221
24,NYG,3.6205577648075176,2.5738940082680823,0.9543683565256109,3.2928284264210697,-8.182912129302357,600,634,341,358,5.372294372294372,5.479111168283434,1.4701056299787578,-0.3751859915715566,7.129793510324483,4.528688524590164,4.395429207366471,308,214,22,21,13,19.0,9.0,38.0,20.0,50.0,25,12.0,22.0,14.0,9.0,0.12,0.07886435331230283,0.015,0.022082018927444796,0.05865102639296188,0.1466275659824047,0.07331378299120235,0.025139664804469275,0.02421483737499114,1.0562351250605289,1.018973611542536,1.0251547867177664,1.039233762762785,0.8991381375063767,1.1848382486683124,1.1412509168408613
25,LV,4.195631551126712,3.4240813477509526,-4.1323887684163365,-5.233652051309502,-0.9352002899314082,563,560,329,303,3.9619565217391304,4.5252606180736,1.2325464023484125,1.2633023976805495,9.071428571428571,4.726872246696035,4.448201429557883,301,189,20,18,15,21.0,4.0,62.0,18.0,40.0,9,12.0,11.0,6.0,14.0,0.0905861456483126,0.13214285714285715,0.02486678507992895,0.010714285714285714,0.0547112462006079,0.12158054711246201,0.02735562310030395,0.013201320132013201,0.017874325161681567,1.102457912820568,0.751472064999087,1.0374629581460746,0.8583150578921778,1.1439977018163614,0.6221812878962315,0.8424211016898573
26,LAC,5.420680827012768,3.424988174810036,-6.321801617027927,-7.275600060349569,6.819451767571119,561,536,336,253,5.038461538461538,5.145196567208513,3.02934107515547,1.4027235410188206,8.436440677966102,5.102362204724409,4.656884276046176,314,180,24,22,13,15.0,6.0,38.0,14.0,48.0,13,16.0,16.0,10.0,11.0,0.1140819964349376,0.10074626865671642,0.0196078431372549,0.018656716417910446,0.041666666666666664,0.14285714285714285,0.03869047619047619,0.023715415019762844,0.02196418598439554,1.1900341902844644,0.9556548831243006,1.0861344777839805,0.9758995253913536,1.063919389444457,1.117713025094218,1.0351771933947909
27,LA,5.458009852487045,4.363001995053317,1.8482166587522155,1.0962784592101458,15.058452650331533,591,631,339,378,5.236286919831223,5.281182876124974,0.3847249615264227,0.5091008643466962,6.5488505747126435,4.220657276995305,4.125068392566491,322,222,32,18,18,28.0,12.0,47.0,13.0,34.0,7,14.0,11.0,10.0,8.0,0.07614213197969544,0.09667194928684628,0.01353637901861252,0.01584786053882726,0.038348082595870206,0.10029498525073746,0.02064896755162242,0.031746031746031744,0.027428592419754812,0.984392378190374,0.99317681125032,0.9620979905876845,1.0016923153455954,0.8258754338436245,1.4961978589885565,1.2927159394854675
28,MIA,5.660154863616964,5.337945184536547,5.192171158179209,6.925020012606055,2.31239452958107,613,643,382,374,5.116379310344827,5.17737977640992,2.2353205742204896,0.9780119900949498,8.341736694677872,4.554054054054054,4.229058177164246,349,188,21,18,15,17.0,6.0,64.0,23.0,51.0,22,17.0,18.0,11.0,7.0,0.11256117455138662,0.12597200622083982,0.011419249592169658,0.017107309486780714,0.060209424083769635,0.13350785340314136,0.05759162303664921,0.016042780748663103,0.019486360914659866,1.0621511784698199,0.9704336997559281,0.9863517370185162,0.9820037778091116,1.051976271733557,0.7560999875637359,0.91839672161976
29,BUF,6.164278405089323,7.656836477771673,2.3513599899080067,0.5575158109626068,-2.2659838673743335,577,514,336,290,4.67515923566879,4.967539675578872,-7.096894469577819,-4.033630161566021,6.804428044280443,3.994219653179191,4.05054487469484,309,206,24,29,20,18.0,11.0,42.0,12.0,48.0,25,25.0,17.0,14.0,13.0,0.11265164644714037,0.1303501945525292,0.022530329289428077,0.027237354085603113,0.03571428571428571,0.14285714285714285,0.0744047619047619,0.03793103448275862,0.028216959372427335,0.9315798761577978,0.8867466227230104,0.9447167207583054,0.9422029942755495,0.8581063041546674,1.7876984763432235,1.3298718573060753
30,TB,9.633127071467353,6.908320048816152,11.467793403683148,6.974376185431269,5.552178490580174,564,539,361,340,5.204545454545454,5.205629747992234,1.9117008192470664,0.3743411642687852,6.457943925233645,4.051612903225807,4.1825813211793745,341,168,31,24,20,17.0,10.0,54.0,12.0,30.0,5,14.0,13.0,8.0,8.0,0.07624113475177305,0.1261595547309833,0.014184397163120567,0.014842300556586271,0.0332409972299169,0.08310249307479224,0.013850415512465374,0.029411764705882353,0.025544130992796215,0.9449658191988028,0.9871563452675374,0.9755118465011962,0.987362005332469,0.8144111978343866,1.3861833105335157,1.2039008341860653
31,KC,10.220571894315071,10.01037075728043,1.2192572629069403,1.449955814282903,14.020625591278076,657,589,396,313,6.22,5.726155694783914,4.565149066331503,2.217656442256138,7.651006711409396,4.837719298245614,4.399053132632377,358,212,26,20,17,12.0,7.0,42.0,17.0,53.0,31,19.0,19.0,11.0,12.0,0.1095890410958904,0.1035653650254669,0.0182648401826484,0.01867572156196944,0.04292929292929293,0.13383838383838384,0.07828282828282829,0.022364217252396165,0.02184548438339954,1.1283109934023587,1.179759600754671,1.026000002089868,1.0860911826908932,0.9648683253706669,1.0540307600861876,1.0295827593348257
