,player_id,week,targets_wk,red_zone_targets_wk,deep_targets_wk,air_yards_per_target_wk,carries_wk,red_zone_carries_wk,yards_per_carry_wk,team,targets_wk_team,carries_wk_team,target_percentage_wk,carry_percentage_wk,player_name
0,00-0023459,3,1.0,,,-4.0,,,,GB,31,25,0.03225806451612903,,Aa.Rodgers
1,00-0034521,3,1.0,,,23.0,,,,GB,31,25,0.03225806451612903,,A.Lazard
2,00-0033757,3,1.0,1.0,,-1.0,,,,GB,31,25,0.03225806451612903,,R.Tonyan
3,00-0036332,3,1.0,,,0.0,,,,GB,31,25,0.03225806451612903,,J.Deguara
4,00-0028002,3,1.0,1.0,,3.0,,,,GB,31,25,0.03225806451612903,,R.Cobb
5,00-0033293,3,2.0,1.0,,-1.5,19.0,2.0,4.315789473684211,GB,31,25,0.06451612903225806,0.76,A.Jones
6,00-0036265,3,2.0,,,1.0,6.0,,3.0,GB,31,25,0.06451612903225806,0.24,A.Dillon
7,00-0034272,3,4.0,,2.0,20.25,,,,GB,31,25,0.12903225806451613,,M.Valdes-Scantling
8,00-0031381,3,18.0,1.0,2.0,14.055555555555555,,,,GB,31,25,0.5806451612903226,,D.Adams
9,00-0031951,2,1.0,,,20.0,,,,JAX,34,16,0.029411764705882353,,J.O'Shaughnessy
10,00-0035457,2,1.0,,1.0,44.0,,,,JAX,34,16,0.029411764705882353,,T.Johnson
11,00-0031484,2,1.0,,,9.0,,,,JAX,34,16,0.029411764705882353,,C.Manhertz
12,00-0032951,2,1.0,,1.0,32.0,,,,JAX,34,16,0.029411764705882353,,L.Treadwell
13,00-0036887,2,2.0,,,12.0,,,,JAX,34,16,0.058823529411764705,,L.Farrell
14,00-0031045,2,2.0,,,4.0,2.0,,3.5,JAX,34,16,0.058823529411764705,0.125,C.Hyde
15,00-0035831,2,3.0,,,-2.3333333333333335,11.0,,4.2727272727272725,JAX,34,16,0.08823529411764706,0.6875,J.Robinson
16,00-0034777,2,5.0,1.0,,15.5,,,,JAX,34,16,0.14705882352941177,,D.Chark
